"","4","6","8","10","12","Complexity","Type"
"00010 Glycolysis / Gluconeogenesis [PATH:ko00010]",2.66611908596232,2.65913151111446,2.6521439362666,2.64515636141874,2.63816878657089,0,"Core"
"00020 Citrate cycle (TCA cycle) [PATH:ko00020]",2.35630769786713,2.02396662517455,2.05610773557692,2.17437340365855,2.2791062914968,1,"Variable"
"00030 Pentose phosphate pathway [PATH:ko00030]",2.06880098637645,2.11154539024659,2.10181913081984,2.05678748950369,2.00486712285529,1,"Variable"
"00040 Pentose and glucuronate interconversions [PATH:ko00040]",2.4495646071251,2.31041818217385,2.29874166877824,2.30536250978336,2.31030011070257,1,"Variable"
"00051 Fructose and mannose metabolism [PATH:ko00051]",2.62127796902726,2.40594834791863,2.3973590113688,2.44561877848184,2.50090008466877,1,"Variable"
"00052 Galactose metabolism [PATH:ko00052]",2.91902975334288,2.89989053916612,2.88075132498937,2.86161211081262,2.84247289663587,0,"Core"
"00053 Ascorbate and aldarate metabolism [PATH:ko00053]",-0.863150804846673,-0.915891971880176,-0.968633138913678,-1.02137430594718,-1.07411547298068,0,"Core"
"00061 Fatty acid biosynthesis [PATH:ko00061]",2.04777812533259,1.84878118011834,1.86852164062047,1.93446276200956,1.97231843230862,1,"Variable"
"00071 Fatty acid metabolism [PATH:ko00071]",-4.03095373594653,-3.4924131063861,-3.6409008725444,-4.21643748221265,-4.32543947926126,1,"Variable"
"00120 Primary bile acid biosynthesis [PATH:ko00120]",-0.914628681994961,-0.908463139712928,-0.902297597430896,-0.896132055148864,-0.889966512866831,0,"Core"
"00130 Ubiquinone and other terpenoid-quinone biosynthesis [PATH:ko00130]",0.901962158944564,0.383619277060872,0.455634340454864,0.669455595555108,0.860582803823364,1,"Variable"
"00140 Steroid hormone biosynthesis [PATH:ko00140]",-1.82831075684036,-1.79430391803635,-1.76029707923234,-1.72629024042833,-1.69228340162433,0,"Core"
"00190 Oxidative phosphorylation [PATH:ko00190]",2.79751139580876,2.68704919220624,2.67770895176364,2.71497250960326,2.76547017446332,1,"Variable"
"00230 Purine metabolism [PATH:ko00230]",3.25678093551522,3.11331336977744,3.11780511933863,3.17448919391405,3.20923244620604,1,"Variable"
"00240 Pyrimidine metabolism [PATH:ko00240]",2.51120430925508,2.50563537204011,2.50006643482514,2.49449749761017,2.4889285603952,0,"Core"
"00250 Alanine, aspartate and glutamate metabolism [PATH:ko00250]",3.5888094659056,3.45015622919657,3.45473538302478,3.49914244225413,3.53666705511764,1,"Variable"
"00260 Glycine, serine and threonine metabolism [PATH:ko00260]",3.16788707727594,3.00781057877487,3.00126649734418,3.05257832782358,3.10547210174299,1,"Variable"
"00270 Cysteine and methionine metabolism [PATH:ko00270]",2.80885325948522,2.78484759280135,2.76084192611748,2.73683625943361,2.71283059274974,0,"Core"
"00280 Valine, leucine and isoleucine degradation [PATH:ko00280]",1.88937440036469,1.67389770704362,1.67676355471009,1.74530096682578,1.78500949171933,1,"Variable"
"00281 Geraniol degradation [PATH:ko00281]",0.392115086607356,-0.173811867119579,-0.0961332680165041,0.0766241704127193,0.296445692782072,1,"Variable"
"00290 Valine, leucine and isoleucine biosynthesis [PATH:ko00290]",2.3384970762071,2.31191477280035,2.28533246939361,2.25875016598686,2.23216786258012,0,"Core"
"00300 Lysine biosynthesis [PATH:ko00300]",2.37291047203287,2.36408886740307,2.35526726277327,2.34644565814347,2.33762405351367,0,"Core"
"00310 Lysine degradation [PATH:ko00310]",-1.80995874807402,-1.75607204632041,-1.70218534456681,-1.6482986428132,-1.5944119410596,0,"Core"
"00311 Penicillin and cephalosporin biosynthesis [PATH:ko00311]",-3.0975180035708,-3.03664987838328,-2.97578175319576,-2.91491362800824,-2.85404550282072,0,"Core"
"00312 beta-Lactam resistance [PATH:ko00312]",-3.97054568158494,-3.50722225236826,-3.51110337184265,-3.83715784272913,-4.23666409187429,1,"Variable"
"00330 Arginine and proline metabolism [PATH:ko00330]",2.6813055602531,2.54215014014344,2.53940695260757,2.58191838111054,2.60692625963534,1,"Variable"
"00340 Histidine metabolism [PATH:ko00340]",2.27257780243465,2.12401167710405,2.11837863608468,2.16452460184349,2.21249054891437,1,"Variable"
"00350 Tyrosine metabolism [PATH:ko00350]",0.279432438880873,0.257839916997902,0.236247395114931,0.214654873231961,0.19306235134899,0,"Core"
"00360 Phenylalanine metabolism [PATH:ko00360]",0.000452251115982572,0.464509995896025,0.443998799216423,0.200739019168504,-0.028675200135837,1,"Variable"
"00361 Chlorocyclohexane and chlorobenzene degradation [PATH:ko00361]",-4.42251598586418,-4.49754742409876,-4.57257886233334,-4.64761030056791,-4.72264173880249,0,"Core"
"00362 Benzoate degradation [PATH:ko00362]",-0.718203525014302,-0.725681260044068,-0.733158995073833,-0.740636730103598,-0.748114465133364,0,"Core"
"00380 Tryptophan metabolism [PATH:ko00380]",-1.04650407456721,-1.38350651609843,-1.33493593809057,-1.13192583468626,-0.989557100781381,1,"Variable"
"00400 Phenylalanine, tyrosine and tryptophan biosynthesis [PATH:ko00400]",1.98931319726101,1.99128992486244,1.99326665246387,1.99524338006531,1.99722010766674,0,"Core"
"00430 Taurine and hypotaurine metabolism [PATH:ko00430]",-4.63487041970566,-4.17657246507733,-4.09018572127444,-4.33205454281632,-4.6004458933865,1,"Variable"
"00440 Phosphonate and phosphinate metabolism [PATH:ko00440]",-1.17661129884285,-1.15187818664049,-1.12714507443812,-1.10241196223576,-1.0776788500334,0,"Core"
"00450 Selenocompound metabolism [PATH:ko00450]",0.0643896333660296,0.0562466335313533,0.0481036336966771,0.0399606338620008,0.0318176340273245,0,"Core"
"00480 Glutathione metabolism [PATH:ko00480]",0.626405640502251,0.380985979658624,0.391010753460844,0.441520029522632,0.502898230595205,1,"Variable"
"00500 Starch and sucrose metabolism [PATH:ko00500]",2.42526509811182,2.49200954033124,2.47537834057819,2.42845714658552,2.37871798085085,1,"Variable"
"00510 N-Glycan biosynthesis [PATH:ko00510]",-0.2881542532255,-0.546125949695008,-0.551093328563454,-0.442686627872333,-0.297390118427765,1,"Variable"
"00511 Other glycan degradation [PATH:ko00511]",0.688850157445377,0.65637919447437,0.623908231503362,0.591437268532355,0.558966305561348,0,"Core"
"00520 Amino sugar and nucleotide sugar metabolism [PATH:ko00520]",2.4755240959466,2.57102928175724,2.52671654703187,2.44568050445223,2.39500901848021,1,"Variable"
"00521 Streptomycin biosynthesis [PATH:ko00521]",2.12176521255139,1.9696010768462,1.96469393939686,2.00758748871353,2.04010206842752,1,"Variable"
"00531 Glycosaminoglycan degradation [PATH:ko00531]",-1.07274791846484,-1.34000175216379,-1.23707022449719,-1.05731578219388,-0.89193867018899,1,"Variable"
"00540 Lipopolysaccharide biosynthesis [PATH:ko00540]",1.57230441121287,1.16381079167213,1.2086182121934,1.39351869825241,1.55431452021556,1,"Variable"
"00550 Peptidoglycan biosynthesis [PATH:ko00550]",2.3960032478397,2.28971419797669,2.27830859145137,2.30680437129455,2.33958543662726,1,"Variable"
"00561 Glycerolipid metabolism [PATH:ko00561]",0.791835975810272,1.12896473307165,1.08244469311381,0.907439527434022,0.738609649858651,1,"Variable"
"00562 Inositol phosphate metabolism [PATH:ko00562]",-1.65509977195787,-0.892435881932798,-0.912625804372854,-1.27468568770159,-1.58045566568025,1,"Variable"
"00564 Glycerophospholipid metabolism [PATH:ko00564]",1.42627967244611,1.32595697285825,1.31994257799469,1.35941938074594,1.39867558850774,1,"Variable"
"00590 Arachidonic acid metabolism [PATH:ko00590]",-2.96950660845328,-2.86504703381289,-2.7605874591725,-2.65612788453211,-2.55166830989172,0,"Core"
"00620 Pyruvate metabolism [PATH:ko00620]",2.43387599795486,2.36071706012096,2.33997329726998,2.35318798282297,2.37543665046608,1,"Variable"
"00627 Aminobenzoate degradation [PATH:ko00627]",-3.10388137182955,-3.13846963506517,-3.17305789830078,-3.2076461615364,-3.24223442477202,0,"Core"
"00630 Glyoxylate and dicarboxylate metabolism [PATH:ko00630]",0.878087678065284,0.860452135672297,0.84281659327931,0.825181050886323,0.807545508493336,0,"Core"
"00633 Nitrotoluene degradation [PATH:ko00633]",-2.17059104154472,-2.19999292302589,-2.22939480450707,-2.25879668598824,-2.28819856746942,0,"Core"
"00640 Propanoate metabolism [PATH:ko00640]",-1.4451166687785,-1.71605706297594,-1.73246095589233,-1.63713689146949,-1.5884870675374,1,"Variable"
"00650 Butanoate metabolism [PATH:ko00650]",-0.180873936280734,-0.146883412550914,-0.112892888821095,-0.0789023650912755,-0.0449118413614561,0,"Core"
"00660 C5-Branched dibasic acid metabolism [PATH:ko00660]",-2.70516031158825,-2.78960282201656,-2.87404533244487,-2.95848784287318,-3.0429303533015,0,"Core"
"00670 One carbon pool by folate [PATH:ko00670]",1.64206244094052,1.33315503729593,1.36153924537933,1.48509924348126,1.57669878596306,1,"Variable"
"00680 Methane metabolism [PATH:ko00680]",0.886102112661751,0.806364695534803,0.771117850730702,0.786017495354203,0.823867804844704,1,"Variable"
"00710 Carbon fixation in photosynthetic organisms [PATH:ko00710]",-3.48930420919472,-3.56671842751298,-3.64413264583124,-3.72154686414949,-3.79896108246775,0,"Core"
"00720 Carbon fixation pathways in prokaryotes [PATH:ko00720]",0.326554589524526,0.540753656482787,0.493335837813501,0.409040992910609,0.377799999228036,1,"Variable"
"00730 Thiamine metabolism [PATH:ko00730]",1.7833277669192,1.533736028853,1.5458141140708,1.64887863756788,1.73148656083456,1,"Variable"
"00740 Riboflavin metabolism [PATH:ko00740]",1.15093953058426,1.00382294575492,0.96766777589294,0.994020170519857,1.03738398635241,2,"Variable"
"00750 Vitamin B6 metabolism [PATH:ko00750]",0.947793945884912,0.681054169142733,0.664013753732143,0.745477514181516,0.850601603311979,1,"Variable"
"00760 Nicotinate and nicotinamide metabolism [PATH:ko00760]",1.92500122195538,1.74562653572263,1.76716358010418,1.83718703821735,1.87629123154154,1,"Variable"
"00770 Pantothenate and CoA biosynthesis [PATH:ko00770]",1.29283151415913,1.29034600276036,1.28786049136159,1.28537497996283,1.28288946856406,0,"Core"
"00780 Biotin metabolism [PATH:ko00780]",1.31914627365999,1.0646497938658,1.07552322837787,1.15828236361981,1.25217101187784,1,"Variable"
"00785 Lipoic acid metabolism [PATH:ko00785]",-1.03129939389714,-1.46823829466523,-1.39448404520848,-1.1955699865827,-0.966541554897813,1,"Variable"
"00790 Folate biosynthesis [PATH:ko00790]",0.712373054387453,0.511842479213659,0.529635375335296,0.619944303516292,0.761278265751599,1,"Variable"
"00791 Atrazine degradation [PATH:ko00791]",-2.71598649984366,-2.45920430589201,-2.38211536289851,-2.51784871384674,-2.80715864870114,1,"Variable"
"00830 Retinol metabolism [PATH:ko00830]",-3.98092058884729,-3.8565336086211,-3.73214662839491,-3.60775964816872,-3.48337266794253,0,"Core"
"00860 Porphyrin and chlorophyll metabolism [PATH:ko00860]",2.12326950861615,2.09519635245494,2.06712319629373,2.03905004013252,2.0109768839713,0,"Core"
"00900 Terpenoid backbone biosynthesis [PATH:ko00900]",2.02196867305177,1.91504055995381,1.90266281676969,1.93643786907981,1.96787441970186,2,"Variable"
"00908 Zeatin biosynthesis [PATH:ko00908]",0.25712174729779,-0.0855882874673565,-0.0414396196681176,0.0932539932475949,0.22571301839336,1,"Variable"
"00910 Nitrogen metabolism [PATH:ko00910]",-0.72353643367887,-0.730032078614985,-0.736527723551099,-0.743023368487213,-0.749519013423327,0,"Core"
