"","4","6","8","10","12","Complexity","Type"
"aapJ, bztA; general L-amino acid transport system substrate-binding protein",-2.0786881053221,-3.10787968544689,-3.1997191081732,-2.77416918067392,-2.49708968207494,3,"Variable"
"aapM, bztC; general L-amino acid transport system permease protein",-2.38134345887623,-3.36583531006825,-3.60782885725358,-3.24537006894934,-2.72381877342034,2,"Variable"
"aapP, bztD; general L-amino acid transport system ATP-binding protein [EC:3.6.3.-]",-2.70306041613915,-2.33093864617638,-2.13920693190904,-2.27807284157763,-2.59673878590795,1,"Variable"
"AARS, alaS; alanyl-tRNA synthetase [EC:6.1.1.7]",3.06843241441162,2.75512475661352,2.77485261252362,2.88842565956873,2.99028945017034,1,"Variable"
"ABC-2.AB.A; antibiotic transport system ATP-binding protein",2.78066458785057,3.42254809102211,3.30929727486933,2.87880600985197,2.54954986889077,1,"Variable"
"ABC-2.AB.P; antibiotic transport system permease protein",1.38232729350678,1.43252017484288,1.48271305617899,1.53290593751509,1.5830988188512,0,"Core"
"ABC-2.LPSE.A; lipopolysaccharide transport system ATP-binding protein",1.17311291744598,1.75711336311711,1.71290818761317,1.36594430377669,1.09809663255922,1,"Variable"
"ABC-2.LPSE.P; lipopolysaccharide transport system permease protein",-0.389175442794619,0.0179860003045944,-0.0865705229482445,-0.238321445339279,-0.306620630254989,1,"Variable"
"ABC.ATM; mitochondrial ABC transporter ATM",-2.30120838807717,-2.22443157658234,-2.14765476508751,-2.07087795359268,-1.99410114209785,0,"Core"
"ABC.CYST.A; cystine transport system ATP-binding protein [EC:3.6.3.-]",-2.09201439994902,-2.12722923965789,-2.16244407936676,-2.19765891907563,-2.2328737587845,0,"Core"
"ABC.FEV.A; iron complex transport system ATP-binding protein [EC:3.6.3.34]",1.83674349073162,1.54260268133163,1.5673801779927,1.71637402775266,1.83691391001112,1,"Variable"
"ABC.FEV.P; iron complex transport system permease protein",2.00639994069683,1.77342311608264,1.77076517084494,1.90488316102174,2.0778805244771,1,"Variable"
"ABC.FEV.S; iron complex transport system substrate-binding protein",1.78929151736895,1.43625399200515,1.46854499712028,1.64897528562528,1.83754665491866,1,"Variable"
"ABC.GLN1.A; putative glutamine transport system ATP-binding protein [EC:3.6.3.-]",-0.139323736360045,0.348004239182741,0.261289328400793,-0.003903662322021,-0.303627700579936,1,"Variable"
"ABC.GLN1.P; putative glutamine transport system permease protein",-1.00908695154991,-0.575945812855813,-0.779044399966201,-1.21363965851462,-1.58327126198156,1,"Variable"
"ABC.GLN1.S; putative glutamine transport system substrate-binding protein",-0.761033865908579,-0.842608415899415,-0.92418296589025,-1.00575751588109,-1.08733206587192,0,"Core"
"ABC.LPT.A, lolD; lipoprotein-releasing system ATP-binding protein [EC:3.6.3.-]",1.82385452973742,1.5176320214452,1.51422106876184,1.63493795476421,1.67061771266748,1,"Variable"
"ABC.LPT.P, lolC, lolE; lipoprotein-releasing system permease protein",0.0943338400997409,0.254753025767946,0.415172211436152,0.575591397104357,0.736010582772563,0,"Core"
"ABC.MET.A, metN; D-methionine transport system ATP-binding protein",0.0559599141798782,0.435356375044943,0.455098699483388,0.338236946849397,0.215993401042371,1,"Variable"
"ABC.MET.P, metI; D-methionine transport system permease protein",-0.625224962547893,-0.18827786491412,-0.100088325447893,-0.208410952212998,-0.439915569095799,1,"Variable"
"ABC.MET.S, metQ; D-methionine transport system substrate-binding protein",-0.0811603653240943,-0.0466840393053752,-0.0122077132866562,0.0222686127320629,0.056744938750782,0,"Core"
"ABC.NGC.S; N-acetylglucosamine transport system substrate-binding protein",-0.75219486386985,-0.0378353428441333,0.0251618862531506,-0.419577503360551,-1.07759696265486,1,"Variable"
"ABC.PE.A; peptide/nickel transport system ATP-binding protein",1.72892362214308,2.14099705003816,2.14140157830497,1.91730955603097,1.65473683061258,1,"Variable"
"ABC.PE.P; peptide/nickel transport system permease protein",1.56636153105582,2.05792738702854,2.06171119333401,1.81745943907733,1.56449175978861,1,"Variable"
"ABC.PE.P1; peptide/nickel transport system permease protein",1.90535509208933,2.34137446939196,2.34656895024827,2.10224333403287,1.88510614349145,1,"Variable"
"ABC.PE.S; peptide/nickel transport system substrate-binding protein",1.57319306600236,1.98782333618084,1.98005333271828,1.77344838662962,1.55031573111076,1,"Variable"
"ABC.SN.P, ssuC, tauC; sulfonate/nitrate/taurine transport system permease protein",0.904800468643384,1.38643852757429,1.31757378237051,1.02046058205599,0.77702180947254,1,"Variable"
"ABC.SN.S, ssuA, tauA; sulfonate/nitrate/taurine transport system substrate-binding protein",0.487888419741726,0.894154977345703,0.85678145361281,0.636464651322617,0.326376319257259,1,"Variable"
"ABCB1; ATP-binding cassette, subfamily B (MDR/TAP), member 1",-1.95904520389796,-1.99231826587019,-2.02559132784242,-2.05886438981465,-2.09213745178688,0,"Core"
"ABCC-BAC; ATP-binding cassette, subfamily C, bacterial",1.45918589643843,1.80362120002564,1.76551813897532,1.55897085449812,1.36982848514815,1,"Variable"
"accA; acetyl-CoA carboxylase carboxyl transferase subunit alpha [EC:6.4.1.2]",0.00702486136351699,0.277707367261774,0.225625025750534,0.0649533198881804,-0.0764862245518787,1,"Variable"
"accB, bccP; acetyl-CoA carboxylase biotin carboxyl carrier protein",-1.02104039204858,-1.09147834437077,-1.16191629669295,-1.23235424901513,-1.30279220133731,0,"Core"
"accD; acetyl-CoA carboxylase carboxyl transferase subunit beta [EC:6.4.1.2]",0.0167518558402959,-0.0505910699870684,-0.117933995814433,-0.185276921641797,-0.252619847469161,0,"Core"
"ackA; acetate kinase [EC:2.7.2.1]",2.67347463340482,2.38042786342993,2.42883627627187,2.54098880834552,2.5694867576284,1,"Variable"
"ACO, acnA; aconitate hydratase 1 / homoaconitase [EC:4.2.1.3 4.2.1.-]",1.62568860058198,2.01526231909378,1.97800220931865,1.83791609556335,1.74292123221037,1,"Variable"
"acpS; holo-[acyl-carrier protein] synthase [EC:2.7.8.7]",-1.77268519081225,-1.79513758034493,-1.81758996987761,-1.84004235941029,-1.86249474894297,0,"Core"
"ACSL, fadD; long-chain acyl-CoA synthetase [EC:6.2.1.3]",3.26595328232095,2.70700029860172,2.75990277371986,2.98515997472183,3.18013439878544,1,"Variable"
"ACSS, acs; acetyl-CoA synthetase [EC:6.2.1.1]",1.82304198330434,1.89402856745606,1.96501515160779,2.03600173575951,2.10698831991123,0,"Core"
"acyP; acylphosphatase [EC:3.6.1.7]",-2.6235944962226,-2.55196419899446,-2.48033390176632,-2.40870360453818,-2.33707330731004,0,"Core"
"ade; adenine deaminase [EC:3.5.4.2]",0.651108659131651,0.601713040805192,0.552317422478734,0.502921804152275,0.453526185825817,0,"Core"
"ADE5; phosphoribosylamine--glycine ligase / phosphoribosylformylglycinamidine cyclo-ligase [EC:6.3.4.13 http://6.3.3.1]",-2.56982084517802,-2.68825765292511,-2.8066944606722,-2.92513126841929,-3.04356807616638,0,"Core"
"adhE; acetaldehyde dehydrogenase / alcohol dehydrogenase [EC:1.2.1.10 http://1.1.1.1]",1.01386164395554,1.0459813079959,1.07810097203626,1.11022063607663,1.14234030011699,0,"Core"
"adhP; alcohol dehydrogenase, propanol-preferring [EC:1.1.1.1]",-1.93971337681716,-2.35906358485218,-2.50722301405724,-2.26816577649054,-1.78554368254979,1,"Variable"
"aer; aerotaxis receptor",-2.57684016451553,-2.75403336291523,-2.93122656131493,-3.10841975971463,-3.28561295811433,0,"Core"
"afuA, fbpA; iron(III) transport system substrate-binding protein",-0.542743400100582,-0.201803631418591,-0.0746008427612707,-0.105948649384009,-0.319011625848785,1,"Variable"
"afuB, fbpB; iron(III) transport system permease protein",0.147448879818377,0.590025634396654,0.632565959278357,0.524705528666072,0.351843428423078,1,"Variable"
"agp; glucose-1-phosphatase [EC:3.1.3.10]",0.719210911611581,-0.129013075683775,-0.17323665092731,0.128811752301856,0.461156941713674,1,"Variable"
"agrA; two-component system, AgrA family, response regulator AgrA",-0.592819945394217,-0.0518617629546412,-0.138881166349112,-0.523520133360076,-0.920514507727679,1,"Variable"
"agrB; accessory gene regulator B",-1.98441640649406,-2.21695758950772,-2.44949877252137,-2.68203995553503,-2.91458113854868,0,"Core"
"agrC; two-component system, AgrA family, sensor histidine kinase AgrC [EC:2.7.13.-]",-2.36002922042946,-2.42773890673423,-2.49544859303901,-2.56315827934378,-2.63086796564856,0,"Core"
"aguB; N-carbamoylputrescine amidase [EC:3.5.1.53]",1.75543587644389,1.05535745664498,1.10824314463295,1.38916513228125,1.61958008162837,1,"Variable"
"alaA; alanine-synthesizing transaminase [EC:2.6.1.66 http://2.6.1.2]",-0.506690879055444,-0.620905439032903,-0.735119999010361,-0.84933455898782,-0.963549118965278,0,"Core"
"ald; alanine dehydrogenase [EC:1.4.1.1]",1.17635513123771,0.78727599709508,0.926325280116133,1.21267178907269,1.36052092262279,1,"Variable"
"aldA; lactaldehyde dehydrogenase / glycolaldehyde dehydrogenase [EC:1.2.1.22 http://1.2.1.21]",-2.79467306287311,-2.5187610264861,-2.24284899009909,-1.96693695371208,-1.69102491732507,0,"Core"
"ALDO; fructose-bisphosphate aldolase, class I [EC:4.1.2.13]",-0.792474663270027,-1.00471069153187,-0.987743824763439,-0.792790912396006,-0.469285809222143,1,"Variable"
"algD; GDP-mannose 6-dehydrogenase [EC:1.1.1.132]",-1.53126604566706,-1.23065729026655,-0.930048534866048,-0.629439779465542,-0.328831024065035,0,"Core"
