"","4","6","8","10","12","Complexity","Type"
"aapJ, bztA; general L-amino acid transport system substrate-binding protein",-2.6354642392631,-2.62427061281824,-2.61307698637338,-2.60188335992852,-2.59068973348366,0,"Core"
"aapM, bztC; general L-amino acid transport system permease protein",-2.48467845425753,-3.0730216991473,-3.2810409586787,-3.24126524770097,-2.89964082781724,1,"Variable"
"aapP, bztD; general L-amino acid transport system ATP-binding protein [EC:3.6.3.-]",-2.26249934900471,-2.25206465977755,-2.24162997055039,-2.23119528132324,-2.22076059209608,0,"Core"
"AARS, alaS; alanyl-tRNA synthetase [EC:6.1.1.7]",2.90192585892838,2.91926812272404,2.93661038651969,2.95395265031534,2.971294914111,0,"Core"
"ABC-2.AB.A; antibiotic transport system ATP-binding protein",3.13081950367181,3.02213723987212,2.91345497607244,2.80477271227275,2.69609044847306,0,"Core"
"ABC-2.AB.P; antibiotic transport system permease protein",1.49490118503383,1.45911306610311,1.42332494717238,1.38753682824166,1.35174870931093,0,"Core"
"ABC-2.LPSE.A; lipopolysaccharide transport system ATP-binding protein",1.46339119421207,1.41359907906571,1.36380696391934,1.31401484877298,1.26422273362661,0,"Core"
"ABC-2.LPSE.P; lipopolysaccharide transport system permease protein",-0.212126717605948,-0.282180748239179,-0.352234778872411,-0.422288809505643,-0.492342840138875,0,"Core"
"ABC.ATM; mitochondrial ABC transporter ATM",-2.28580518639366,-2.16290946259773,-2.0400137388018,-1.91711801500586,-1.79422229120993,0,"Core"
"ABC.CYST.A; cystine transport system ATP-binding protein [EC:3.6.3.-]",-2.05255142389139,-2.05930652005145,-2.06606161621151,-2.07281671237158,-2.07957180853164,0,"Core"
"ABC.FEV.A; iron complex transport system ATP-binding protein [EC:3.6.3.34]",1.63460968993715,1.66739108976748,1.70017248959781,1.73295388942814,1.76573528925847,0,"Core"
"ABC.FEV.P; iron complex transport system permease protein",1.82705594760869,1.88890252538896,1.95074910316922,2.01259568094949,2.07444225872975,0,"Core"
"ABC.FEV.S; iron complex transport system substrate-binding protein",1.5287926418558,1.59302160898377,1.65725057611175,1.72147954323973,1.7857085103677,0,"Core"
"ABC.GLN1.A; putative glutamine transport system ATP-binding protein [EC:3.6.3.-]",0.147284575079375,0.0441170122592994,-0.0590505505607758,-0.162218113380851,-0.265385676200926,0,"Core"
"ABC.GLN1.P; putative glutamine transport system permease protein",-0.584696893041478,-0.828508435820803,-1.07231997860013,-1.31613152137945,-1.55994306415878,0,"Core"
"ABC.GLN1.S; putative glutamine transport system substrate-binding protein",-0.40344979682706,-0.673241427263941,-0.943033057700821,-1.2128246881377,-1.48261631857458,0,"Core"
"ABC.LPT.A, lolD; lipoprotein-releasing system ATP-binding protein [EC:3.6.3.-]",1.60804013576535,1.65168866135667,1.695337186948,1.73898571253933,1.78263423813066,0,"Core"
"ABC.LPT.P, lolC, lolE; lipoprotein-releasing system permease protein",0.300328151314189,0.359860959576396,0.419393767838604,0.478926576100812,0.538459384363019,0,"Core"
"ABC.MET.A, metN; D-methionine transport system ATP-binding protein",0.276747161380316,0.262429889542232,0.248112617704148,0.233795345866064,0.21947807402798,0,"Core"
"ABC.MET.P, metI; D-methionine transport system permease protein",-0.278071234105979,-0.301076589451205,-0.324081944796431,-0.347087300141658,-0.370092655486884,0,"Core"
"ABC.MET.S, metQ; D-methionine transport system substrate-binding protein",-0.060240339822923,-0.0397386963805933,-0.0192370529382635,0.00126459050406631,0.0217662339463961,0,"Core"
"ABC.NGC.S; N-acetylglucosamine transport system substrate-binding protein",-0.563647056037771,-0.553431169197126,-0.54321528235648,-0.532999395515835,-0.52278350867519,0,"Core"
"ABC.PE.A; peptide/nickel transport system ATP-binding protein",1.94649104828584,1.91889513194454,1.89129921560325,1.86370329926195,1.83610738292065,0,"Core"
"ABC.PE.P; peptide/nickel transport system permease protein",1.82694421061445,1.80034430841512,1.77374440621579,1.74714450401646,1.72054460181713,0,"Core"
"ABC.PE.P1; peptide/nickel transport system permease protein",2.08036937111774,2.08470516863529,2.08904096615284,2.09337676367039,2.09771256118794,0,"Core"
"ABC.PE.S; peptide/nickel transport system substrate-binding protein",1.77582404855592,1.7669623390749,1.75810062959388,1.74923892011285,1.74037721063183,0,"Core"
"ABC.SN.P, ssuC, tauC; sulfonate/nitrate/taurine transport system permease protein",1.22731058041396,1.15095995322662,1.07460932603928,0.998258698851944,0.921908071664607,0,"Core"
"ABC.SN.S, ssuA, tauA; sulfonate/nitrate/taurine transport system substrate-binding protein",0.822073741380919,0.713061867414386,0.604049993447853,0.495038119481321,0.386026245514788,0,"Core"
"ABCB1; ATP-binding cassette, subfamily B (MDR/TAP), member 1",-1.96864462662266,-1.94643637182848,-1.92422811703429,-1.9020198622401,-1.87981160744591,0,"Core"
"ABCC-BAC; ATP-binding cassette, subfamily C, bacterial",1.68228030647177,1.64550930382228,1.6087383011728,1.57196729852332,1.53519629587383,0,"Core"
"accA; acetyl-CoA carboxylase carboxyl transferase subunit alpha [EC:6.4.1.2]",0.22909171325569,0.157950881163087,0.0868100490704836,0.0156692169778806,-0.0554716151147225,0,"Core"
"accB, bccP; acetyl-CoA carboxylase biotin carboxyl carrier protein",-1.02414674229038,-1.10132071886364,-1.17849469543691,-1.25566867201017,-1.33284264858344,0,"Core"
"accD; acetyl-CoA carboxylase carboxyl transferase subunit beta [EC:6.4.1.2]",-0.0262411547113813,-0.0738962966661199,-0.121551438620858,-0.169206580575597,-0.216861722530336,0,"Core"
"ackA; acetate kinase [EC:2.7.2.1]",2.48291379737391,2.52681052081768,2.57070724426145,2.61460396770521,2.65850069114898,0,"Core"
"ACO, acnA; aconitate hydratase 1 / homoaconitase [EC:4.2.1.3 4.2.1.-]",1.92321537886555,1.87736663186154,1.83151788485753,1.78566913785352,1.73982039084951,0,"Core"
"acpS; holo-[acyl-carrier protein] synthase [EC:2.7.8.7]",-1.51127622806016,-1.64271849782732,-1.77416076759448,-1.90560303736165,-2.03704530712881,0,"Core"
"ACSL, fadD; long-chain acyl-CoA synthetase [EC:6.2.1.3]",2.92084222153133,2.98585949469731,3.05087676786329,3.11589404102928,3.18091131419526,0,"Core"
"ACSS, acs; acetyl-CoA synthetase [EC:6.2.1.1]",1.8134695450779,1.92350401939719,2.03353849371649,2.14357296803578,2.25360744235507,0,"Core"
"acyP; acylphosphatase [EC:3.6.1.7]",-2.18652738039731,-2.26408501108396,-2.34164264177061,-2.41920027245727,-2.49675790314392,0,"Core"
"ade; adenine deaminase [EC:3.5.4.2]",0.569752756505576,0.523881713066578,0.47801066962758,0.432139626188582,0.386268582749584,0,"Core"
"ADE5; phosphoribosylamine--glycine ligase / phosphoribosylformylglycinamidine cyclo-ligase [EC:6.3.4.13 http://6.3.3.1]",-3.02347797649381,-2.90466321083097,-2.78584844516814,-2.6670336795053,-2.54821891384247,0,"Core"
"adhE; acetaldehyde dehydrogenase / alcohol dehydrogenase [EC:1.2.1.10 http://1.1.1.1]",1.10224978390861,1.08420114499865,1.0661525060887,1.04810386717875,1.0300552282688,0,"Core"
"adhP; alcohol dehydrogenase, propanol-preferring [EC:1.1.1.1]",-2.10873370976453,-2.17053255478372,-2.23233139980291,-2.29413024482211,-2.3559290898413,0,"Core"
"aer; aerotaxis receptor",-2.99413300517893,-3.02373720226557,-3.0533413993522,-3.08294559643883,-3.11254979352546,0,"Core"
"afuA, fbpA; iron(III) transport system substrate-binding protein",-0.540195865399062,-0.480593133933724,-0.420990402468386,-0.361387671003049,-0.301784939537711,0,"Core"
"afuB, fbpB; iron(III) transport system permease protein",0.0996754028348331,0.161768113059325,0.223860823283817,0.285953533508309,0.348046243732801,0,"Core"
"agp; glucose-1-phosphatase [EC:3.1.3.10]",0.299080883910786,0.287863196090751,0.276645508270716,0.265427820450681,0.254210132630646,0,"Core"
"agrA; two-component system, AgrA family, response regulator AgrA",-0.36474686998027,-0.424107970770992,-0.483469071561714,-0.542830172352436,-0.602191273143158,0,"Core"
"agrB; accessory gene regulator B",-2.43509420362363,-2.4387021496399,-2.44231009565617,-2.44591804167245,-2.44952598768872,0,"Core"
"agrC; two-component system, AgrA family, sensor histidine kinase AgrC [EC:2.7.13.-]",-2.33139997014469,-2.3714027053357,-2.41140544052671,-2.45140817571772,-2.49141091090872,0,"Core"
"aguB; N-carbamoylputrescine amidase [EC:3.5.1.53]",1.24180333650854,1.3264597886705,1.41111624083246,1.49577269299443,1.58042914515639,0,"Core"
"alaA; alanine-synthesizing transaminase [EC:2.6.1.66 http://2.6.1.2]",-0.396492205684656,-0.503149528038884,-0.609806850393111,-0.716464172747338,-0.823121495101566,0,"Core"
"ald; alanine dehydrogenase [EC:1.4.1.1]",0.898211355986109,1.03263229795692,1.16705323992772,1.30147418189853,1.43589512386934,0,"Core"
"aldA; lactaldehyde dehydrogenase / glycolaldehyde dehydrogenase [EC:1.2.1.22 http://1.2.1.21]",-2.15955120662498,-2.25889218726725,-2.35823316790952,-2.45757414855179,-2.55691512919406,0,"Core"
"ALDO; fructose-bisphosphate aldolase, class I [EC:4.1.2.13]",-0.747468076636606,-0.821564849616226,-0.895661622595846,-0.969758395575466,-1.04385516855509,0,"Core"
"algD; GDP-mannose 6-dehydrogenase [EC:1.1.1.132]",-1.17190028606038,-0.958360783063801,-0.744821280067222,-0.531281777070642,-0.317742274074063,0,"Core"
"algR; two-component system, LytT family, response regulator AlgR",-2.70119501478753,-2.85338597069992,-3.00557692661231,-3.15776788252469,-3.30995883843708,0,"Core"
"alkA; DNA-3-methyladenine glycosylase II [EC:3.2.2.21]",-2.51245191180428,-2.40964762807472,-2.30684334434517,-2.20403906061561,-2.10123477688606,0,"Core"
"allD; ureidoglycolate dehydrogenase [EC:1.1.1.154]",-2.69407763146911,-2.68108808418688,-2.66809853690465,-2.65510898962242,-2.64211944234019,0,"Core"
"alsA; D-allose transport system ATP-binding protein [EC:3.6.3.17]",-2.39767557888761,-2.49228783250526,-2.5869000861229,-2.68151233974055,-2.7761245933582,0,"Core"
"amn; AMP nucleosidase [EC:3.2.2.4]",-1.1471698680993,-1.19671957101978,-1.24626927394027,-1.29581897686075,-1.34536867978124,0,"Core"
"aprA; adenylylsulfate reductase, subunit A [EC:1.8.99.2]",-2.42277121708054,-2.55103929396349,-2.67930737084644,-2.80757544772939,-2.93584352461234,0,"Core"
"araB; L-ribulokinase [EC:2.7.1.16]",-0.0666026278619836,0.017110755119843,0.10082413810167,0.184537521083496,0.268250904065323,0,"Core"
"araD; L-ribulose-5-phosphate 4-epimerase [EC:5.1.3.4]",0.81784918661346,0.844606700788797,0.871364214964134,0.898121729139471,0.924879243314809,0,"Core"
"araG; L-arabinose transport system ATP-binding protein [EC:3.6.3.17]",-2.04496232516754,-2.13250593379372,-2.2200495424199,-2.30759315104608,-2.39513675967226,0,"Core"
"arcC; carbamate kinase [EC:2.7.2.2]",1.12379923668929,1.05461556442995,0.985431892170618,0.916248219911281,0.847064547651944,0,"Core"
"argA; amino-acid N-acetyltransferase [EC:2.3.1.1]",-2.25217265228081,-2.39089203972641,-2.52961142717201,-2.6683308146176,-2.8070502020632,0,"Core"
"argD; acetylornithine/N-succinyldiaminopimelate aminotransferase [EC:2.6.1.11 http://2.6.1.17]",1.1575630809442,1.10394995834753,1.05033683575086,0.996723713154186,0.943110590557517,0,"Core"
"argE; acetylornithine deacetylase [EC:3.5.1.16]",0.882062994684065,0.96483423159061,1.04760546849715,1.1303767054037,1.21314794231025,0,"Core"
"argF2; N-succinyl-L-ornithine transcarbamylase [EC:2.1.3.11]",1.3414814767675,1.40204727330978,1.46261306985205,1.52317886639433,1.58374466293661,0,"Core"
"argH, ASL; argininosuccinate lyase [EC:4.3.2.1]",2.29618260953583,2.32699059861307,2.35779858769031,2.38860657676755,2.4194145658448,0,"Core"
"argJ; glutamate N-acetyltransferase / amino-acid N-acetyltransferase [EC:2.3.1.35 http://2.3.1.1]",1.0788178806903,0.99226950300116,0.905721125312019,0.819172747622878,0.732624369933737,0,"Core"
"arnC, pmrF; undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase [EC:2.7.8.30]",-0.336064326970245,-0.346920512938245,-0.357776698906244,-0.368632884874244,-0.379489070842244,0,"Core"
"aroA; 3-phosphoshikimate 1-carboxyvinyltransferase [EC:2.5.1.19]",1.73966170507267,1.72721561597453,1.7147695268764,1.70232343777826,1.68987734868012,0,"Core"
"AROA1, aroA; chorismate mutase [EC:5.4.99.5]",1.50440050025876,1.56502935401153,1.6256582077643,1.68628706151708,1.74691591526985,0,"Core"
"AROA2, aroA; 3-deoxy-7-phosphoheptulonate synthase [EC:2.5.1.54]",0.311974326390546,0.291545987973616,0.271117649556686,0.250689311139756,0.230260972722826,0,"Core"
"aroB; 3-dehydroquinate synthase [EC:4.2.3.4]",1.62909114347896,1.6768759740299,1.72466080458084,1.77244563513178,1.82023046568272,0,"Core"
