KO00010	KO00020	KO00030	KO00040	KO00051	KO00052	KO00053	KO00061	KO00062	KO00071	KO00100	KO00120	KO00130	KO00140	KO00190	KO00195	KO00230	KO00240	KO00250	KO00260	KO00270	KO00280	KO00281	KO00290	KO00300	KO00310	KO00311	KO00312	KO00330	KO00340	KO00350	KO00351	KO00360	KO00361	KO00362	KO00380	KO00400	KO00430	KO00440	KO00450	KO00480	KO00500	KO00510	KO00511	KO00513	KO00520	KO00521	KO00522	KO00523	KO00531	KO00532	KO00534	KO00540	KO00550	KO00561	KO00562	KO00563	KO00564	KO00565	KO00590	KO00600	KO00601	KO00603	KO00620	KO00621	KO00622	KO00624	KO00625	KO00627	KO00630	KO00633	KO00640	KO00643	KO00650	KO00660	KO00670	KO00680	KO00710	KO00720	KO00730	KO00740	KO00750	KO00760	KO00770	KO00780	KO00785	KO00790	KO00791	KO00830	KO00860	KO00900	KO00903	KO00906	KO00908	KO00909	KO00910	KO00920	KO00930	KO00940	KO00941	KO00945	KO00960	KO00970	KO00983	KO00984	KO01040	KO01053	KO02010	KO02020	KO02030	KO02040	KO02060	KO03008	KO03010	KO03013	KO03015	KO03018	KO03020	KO03022	KO03030	KO03040	KO03050	KO03060	KO03070	KO03410	KO03420	KO03430	KO03440	KO03450	KO04010	KO04011	KO04012	KO04020	KO04064	KO04066	KO04070	KO04075	KO04080	KO04110	KO04111	KO04112	KO04113	KO04114	KO04120	KO04122	KO04130	KO04141	KO04142	KO04144	KO04145	KO04146	KO04151	KO04210	KO04260	KO04270	KO04310	KO04320	KO04330	KO04350	KO04360	KO04510	KO04514	KO04520	KO04530	KO04540	KO04610	KO04614	KO04621	KO04622	KO04626	KO04650	KO04666	KO04740	KO04810	KO04910	KO04940	KO04962	KO04970	KO04973	KO04974	KO04975	KO05010	KO05012	KO05014	KO05016	KO05020	KO05030	KO05032	KO05034	KO05100	KO05110	KO05111	KO05120	KO05130	KO05132	KO05134	KO05142	KO05143	KO05144	KO05146	KO05150	KO05200	KO05202	KO05203	KO05204	KO05215	KO05219	KO05322	KO05340	KO05410	KO00232	KO00512	KO00514	KO00591	KO00592	KO03320	KO04013	KO04060	KO04115	KO04140	KO04150	KO04340	KO04380	KO04512	KO04612	KO04630	KO04710	KO04742	KO04744	KO04972	KO04976	KO05145	KO05160	KO05162	KO05168	KO00904	KO04670	KO04745	KO05222	KO00460	KO00623	KO04950	KO04964	KO05133	KO04930
R5300_S1	14462	9152	8115	9985	11281	18425	293	6981	0	28	0	442	1774	275	15630	0	23680	12336	33285	20445	16291	5580	954	9496	10330	200	63	33	13332	8472	994	0	1653	7	514	343	7030	11	454	1076	1703	11815	704	2253	0	12789	7777	1	0	352	0	0	3694	10747	2965	432	0	3911	0	104	0	5	0	10164	0	2	3	12	49	2212	103	221	0	1253	124	4156	2063	19	1653	4979	2963	2479	6341	3480	2867	238	1726	109	2	8383	7094	1	3	957	0	387	425	6	6800	2	0	71	44717	382	0	5	127	33895	12604	10915	6395	3412	0	24177	811	3	16638	16537	0	13343	4	0	1588	12291	4232	10436	4068	10911	0	5	251	0	2	0	2860	643	2	3	0	0	11732	61	0	0	2787	0	89	2906	3	6	3979	1811	17	0	0	0	0	0	0	0	14	1	1	1	0	0	0	7	8	1805	0	1	0	1	485	209	0	0	0	1165	0	17	5	1	0	0	0	4	2	0	0	296	3397	0	12	1953	2	1	0	24	65	88	0	1111	6	62	13	0	159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
R5301_S2	11613	10060	5462	8657	11644	15072	239	6760	0	7	0	375	2530	163	13874	0	22653	11290	31304	20935	12990	5951	1574	7178	8749	116	79	5	12323	8835	853	0	379	4	459	347	6619	2	156	911	1525	9008	772	1330	1	8294	7246	0	0	327	0	0	4810	8955	1133	71	0	3246	0	28	0	1	0	8906	0	0	1	15	6	1954	50	145	0	759	20	4686	1912	16	1086	5596	2815	2329	5891	3342	3660	311	2043	25	37	6108	6583	0	13	1220	0	539	153	0	5550	7	0	90	41917	131	0	3	133	13671	9629	1535	939	1373	1	21519	507	0	15337	14048	0	11833	4	0	1698	11042	4223	10651	3285	11044	0	1	229	0	9	0	2496	675	0	1	0	2	9339	77	0	4	1917	0	49	2842	1	8	5204	1771	23	1	0	0	0	0	2	0	2	0	1	0	0	0	0	7	2	1701	0	0	0	5	117	376	1	0	0	1264	0	4	9	0	2	0	0	0	0	1	0	304	3643	0	3	1896	0	0	0	7	25	94	1	671	3	18	9	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
R5302_S3	11968	10084	6087	10460	12696	15569	334	7156	0	3	0	393	2295	110	15674	0	23536	11277	33525	21414	13567	6280	1561	9320	9995	119	50	9	13534	9180	903	0	608	5	430	174	6886	1	134	909	1565	8518	732	1762	0	10049	7550	1	0	372	0	0	4757	9961	1358	66	0	3629	0	26	3	0	2	10311	1	0	0	0	6	2403	107	220	0	347	18	5130	2484	6	1063	6315	2884	2223	6126	3789	3952	368	1918	24	36	7034	6948	0	23	1338	0	555	224	5	5058	2	1	64	42496	82	0	18	54	14066	10337	2140	1167	2034	0	22338	554	0	15730	14589	0	12566	0	0	1567	11542	4253	11078	3460	10675	0	2	213	0	0	0	2524	741	1	2	3	0	9700	115	0	1	1726	0	48	3462	1	2	4897	1884	5	0	0	0	0	0	0	0	3	0	0	0	0	0	0	2	3	1700	0	0	0	0	117	164	0	0	0	1378	0	22	5	0	0	0	0	0	0	0	0	360	3142	0	19	2245	3	0	0	3	78	101	0	701	6	62	2	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
R5303_S4	12611	5221	7627	8511	8686	14680	358	5096	0	20	0	442	786	165	11003	1	17478	9504	25090	15667	14943	4456	479	9769	8820	183	26	69	10330	6452	1532	0	1827	12	371	204	5877	6	479	830	1061	12042	366	1693	0	12247	5463	13	5	115	0	0	1997	7885	2735	583	0	3152	0	49	0	4	0	9396	0	0	2	1	64	1836	79	115	1	1009	132	2537	1875	19	1593	3525	2110	1609	4498	2802	2005	151	1117	87	5	7253	5886	0	0	598	0	326	771	14	5197	3	0	32	33198	413	0	3	92	37577	12267	14453	9172	4906	0	17394	921	1	11760	12665	0	10175	3	3	1119	9265	3365	8573	3222	8781	0	0	121	0	1	0	2034	470	1	9	1	0	9541	141	0	1	3261	0	32	1566	1	6	2389	1705	4	2	0	1	1	0	0	0	7	0	0	0	2	1	0	1	22	1158	0	1	0	0	504	56	1	0	0	417	0	15	2	0	0	0	1	3	2	0	0	192	2163	0	9	789	0	2	0	6	23	73	0	920	6	33	10	1	108	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
R5304_S5	12325	8938	6067	8500	11087	16788	346	6789	0	11	1	359	2257	200	14149	0	22090	10972	30479	20210	14500	5357	1310	7818	8898	133	83	7	11894	8453	916	1	694	7	574	302	6797	13	271	837	1536	9271	662	1488	3	9582	7709	0	2	333	0	0	4216	8570	1777	223	0	3570	0	43	0	0	0	8862	0	0	4	1	22	2017	68	216	0	805	70	4591	1987	8	1282	5256	2366	1894	5563	2973	3214	445	1833	73	87	7653	5955	0	29	1117	3	326	347	12	6356	8	0	150	38800	147	0	7	88	20619	10244	3972	2659	2238	0	19756	580	1	14696	13721	0	11443	0	8	1644	10723	3790	9949	3464	10628	0	5	219	0	2	0	2348	683	0	0	0	0	9648	68	0	24	2185	0	57	2617	2	5	4663	1819	45	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	1	1602	0	1	0	1	253	314	1	0	0	1472	0	6	0	0	0	0	1	1	0	2	0	271	3258	0	34	1685	1	2	1	20	16	56	0	852	7	35	13	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
R5305_S6	11575	6338	6623	8667	9394	13685	313	5303	0	24	0	375	1074	138	11689	0	18303	9657	25929	16504	12645	4686	810	7630	8762	135	30	45	10470	6698	1256	1	1616	4	301	220	5464	11	360	754	1227	10080	543	1832	0	10351	5702	1	2	171	0	0	2639	8057	2114	292	0	3169	0	56	0	0	0	8813	0	0	1	6	52	1820	59	143	0	745	129	3191	1815	16	1394	3855	2307	1739	4649	2880	2339	200	1285	102	6	6056	5691	0	2	833	0	379	494	12	4532	3	0	27	34663	208	0	10	100	26757	9946	9316	5976	3390	0	18251	778	8	13076	12280	0	10330	9	5	1107	9720	3439	8816	3095	8598	0	0	181	1	2	0	1994	461	0	3	0	0	8988	131	0	1	2531	0	34	1739	0	9	2788	1517	11	1	0	0	0	0	0	1	3	1	1	1	0	0	0	2	7	1385	0	0	0	0	325	65	1	0	0	578	0	5	3	1	0	0	0	1	0	0	0	291	2429	0	6	1187	2	2	0	7	81	76	1	761	2	40	2	0	94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
R5306_S7	13256	5723	8187	9117	9332	16030	337	5261	0	16	1	293	876	137	11336	0	18653	10061	26972	16308	14833	4413	627	9783	8820	220	27	22	11189	7118	1193	0	1874	21	358	178	6443	15	444	909	1200	11229	552	1674	2	11459	5855	0	0	160	0	0	2102	8525	2581	554	0	3423	0	56	0	1	0	9119	0	1	0	14	44	1845	36	128	0	1294	64	2844	1991	54	1612	3596	2108	1610	5099	2841	2094	143	1054	154	11	6815	5266	0	4	651	0	302	627	30	5380	13	0	56	35176	229	0	1	98	38699	12045	13372	8803	4059	0	19479	836	4	13254	13083	1	10921	3	1	1171	10044	3663	9130	3062	9503	0	1	195	0	3	0	2345	435	9	5	5	1	10737	142	3	2	2871	0	27	1681	6	12	2853	1628	2	2	0	0	0	0	0	0	2	0	0	0	1	0	0	3	17	1448	0	2	1	0	450	87	1	0	0	545	0	24	0	0	2	0	0	2	2	1	0	234	2671	0	15	894	1	1	0	13	38	112	0	1010	14	39	11	0	146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
R5307_S8	11647	7683	6402	8539	10035	14922	296	5885	0	11	0	320	1632	142	12311	0	19828	10480	28646	18453	13223	4846	1050	8530	8736	173	53	14	11438	7459	991	1	1066	8	329	174	6430	19	228	933	1311	9182	615	1586	4	9953	6502	0	0	333	0	0	3586	8319	2072	252	0	3478	0	62	0	1	0	9208	0	0	1	0	36	1857	62	140	0	806	60	3827	2076	23	1235	4431	2452	2020	5280	3096	2723	325	1748	67	7	6445	5664	0	17	890	1	443	314	6	5548	4	0	85	36121	178	0	6	125	23357	10139	6308	4143	2473	0	19557	661	1	13648	13097	0	10931	1	4	1425	10013	3655	9269	3221	9678	0	0	183	0	3	0	2318	575	0	2	1	1	9408	48	0	1	2200	0	59	2578	5	4	3617	1583	13	3	0	0	0	0	0	0	3	1	0	1	1	0	0	1	4	1464	0	0	0	0	238	97	1	0	0	1107	0	8	1	1	0	0	0	1	0	0	1	323	2840	0	23	1519	0	3	1	16	88	84	0	941	7	15	15	0	58	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
R5308_S9	13992	10676	7558	10764	12456	18258	446	7709	0	10	1	456	2827	140	16143	0	25649	12813	35688	23466	14774	5985	1373	8964	10370	131	88	4	13231	8431	1320	1	747	16	502	280	7292	0	132	1107	2021	10197	704	1595	0	11386	7988	0	0	408	0	0	4575	10640	2341	147	0	3957	1	31	0	1	0	10607	0	0	1	0	70	1980	57	260	0	670	35	5290	2298	111	1291	5966	2898	2368	6480	3673	3721	413	1919	64	64	7085	7470	1	19	1239	0	545	271	3	5756	1	0	83	47084	210	0	10	71	21181	10662	2976	1865	4916	0	25815	729	7	16913	16307	0	14107	2	2	1835	13006	4692	10801	3690	11902	0	0	276	0	2	0	2942	861	0	0	1	1	10639	87	0	4	2281	0	60	3572	4	2	4833	1772	53	2	0	0	0	0	0	0	3	0	0	1	1	0	1	3	1	1995	0	0	0	0	131	280	1	0	0	1411	0	17	3	0	0	0	0	0	0	0	0	366	3628	0	2	2157	0	1	0	5	527	75	0	1059	7	90	4	0	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
R5309_S10	13311	6099	8366	9182	9458	16063	350	5578	0	40	1	518	1021	221	13039	0	19646	10675	27916	17669	15221	4436	637	10430	9402	229	42	41	11635	7209	1641	0	2133	14	365	221	6644	15	533	953	1349	12102	507	2251	4	12785	5905	3	9	266	0	0	2441	9287	2834	493	0	3353	0	90	0	2	0	10252	0	0	1	3	49	2159	96	108	0	1118	129	2780	1878	34	1673	3985	2638	1707	5329	3098	2481	194	1332	95	7	6760	6510	0	2	735	0	353	1013	46	6058	5	0	47	37130	385	0	7	131	38330	12211	14860	8844	4503	0	18975	944	3	13510	13931	3	11227	3	0	1295	10226	3843	8929	3757	10175	0	1	155	0	3	1	2298	584	2	7	1	0	10009	148	0	2	3189	0	59	2211	3	7	2773	1612	10	4	0	0	1	0	0	0	5	0	1	0	4	0	0	5	10	1381	0	3	0	1	529	68	1	0	0	680	0	25	2	0	0	0	1	2	0	0	0	275	2586	0	16	950	1	2	0	17	98	83	0	1097	11	15	7	0	171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
